Sukunimi,Etunimi,Eduskuntaryhmä,Vaalipiiri,Syntymäaika,Edustajatoimen tila,,,,,,,Edustajatoimen tila
Savola,Mikko,kesk,Vaasan vaalipiiri,29.11.1981,nyk,,,,,,,nyk
Semi,Matti,vas,Savo-Karjalan vaalipiiri,26.01.1957,nyk,,,,,,,nyk
Seurujärvi,Janne,,Lapin vaalipiiri,15.05.1975,ent,,,,,,,ent
Sihto,Paula,,Vaasan vaalipiiri,25.05.1961,ent,,,,,,,ent
Sinnemäki,Anni,,Helsingin vaalipiiri,20.07.1973,ent,,,,,,,ent
Sipilä,Juha,kesk,Oulun vaalipiiri,25.04.1961,nyk,,,,,,,nyk
Sirén,Saara-Sofia,kok,Varsinais-Suomen vaalipiiri,10.07.1986,nyk,,,,,,,nyk
Sirnö,Minna,,Pirkanmaan vaalipiiri,14.05.1966,ent,,,,,,,ent
Skinnari,Jouko,,Hämeen vaalipiiri,12.08.1946,ent,,,,,,,ent
Skinnari,Ville,sd,Hämeen vaalipiiri,21.02.1974,nyk,,,,,,,nyk
Soini,Timo,ps,Uudenmaan vaalipiiri,30.05.1962,nyk,,,,,,,nyk
Soininvaara,Osmo,,Helsingin vaalipiiri,02.09.1951,ent,,,,,,,ent
Soukola,Ismo,,Hämeen vaalipiiri,08.09.1960,ent,,,,,,,ent
Strand,Joakim,r,Vaasan vaalipiiri,02.08.1982,nyk,,,,,,,nyk
Stubb,Alexander,kok,Uudenmaan vaalipiiri,01.04.1968,nyk,,,,,,,nyk
Sumuvuori,Johanna,,Helsingin vaalipiiri,08.11.1976,ent,,,,,,,ent
Suutari,Eero,kok,Oulun vaalipiiri,27.12.1956,nyk,,,,,,,nyk
Särkiniemi,Seppo,,Uudenmaan vaalipiiri,11.04.1957,ent,,,,,,,ent
Söderman,Jacob,,Helsingin vaalipiiri,19.03.1938,ent,,,,,,,ent
Taavitsainen,Satu,sd,Kaakkois-Suomen vaalipiiri,06.01.1977,nyk,,,,,,,nyk
Tabermann,Tommy,,Uudenmaan vaalipiiri,03.12.1947,ent,,,,,,,ent
Taimela,Katja,sd,Varsinais-Suomen vaalipiiri,23.11.1974,nyk,,,,,,,nyk
Tainio,Hanna,,Pirkanmaan vaalipiiri,20.09.1960,ent,,,,,,,ent
Taiveaho,Satu,,Hämeen vaalipiiri,29.09.1976,ent,,,,,,,ent
Talja,Martti,kesk,Hämeen vaalipiiri,29.07.1951,nyk,,,,,,,nyk
Tallqvist,Tarja,,Uudenmaan vaalipiiri,18.01.1944,ent,,,,,,,ent
Talvitie,Mari-Leena,kok,Oulun vaalipiiri,11.06.1980,nyk,,,,,,,nyk
Tanus,Sari,kd,Pirkanmaan vaalipiiri,22.02.1964,nyk,,,,,,,nyk
Tavio,Ville,ps,Varsinais-Suomen vaalipiiri,25.06.1984,nyk,,,,,,,nyk
Tennilä,Esko-Juhani,,Lapin vaalipiiri,10.10.1947,ent,,,,,,,ent
Terho,Sampo,ps,Helsingin vaalipiiri,20.09.1977,nyk,,,,,,,nyk
Thors,Astrid,,Helsingin vaalipiiri,06.11.1957,ent,,,,,,,ent
Tiainen,Eila,,Keski-Suomen vaalipiiri,24.12.1945,ent,,,,,,,ent
Tiilikainen,Kimmo,kesk,Kaakkois-Suomen vaalipiiri,17.08.1966,nyk,,,,,,,nyk
Tiura,Marja,,Pirkanmaan vaalipiiri,20.08.1969,ent,,,,,,,ent
Tiusanen,Pentti,,Kymen vaalipiiri,06.03.1949,ent,,,,,,,ent
Toivakka,Lenita,kok,Kaakkois-Suomen vaalipiiri,28.09.1961,nyk,,,,,,,nyk
Toivola,Jani,vihr,Uudenmaan vaalipiiri,27.11.1977,nyk,,,,,,,nyk
Tolppanen,Maria,ps,Vaasan vaalipiiri,24.11.1952,nyk,,,,,,,nyk
Tolvanen,Kari,kok,Uudenmaan vaalipiiri,24.07.1961,nyk,,,,,,,nyk
Torniainen,Ari,kesk,Kaakkois-Suomen vaalipiiri,15.03.1956,nyk,,,,,,,nyk
Tossavainen,Reijo,,Kymen vaalipiiri,13.11.1948,ent,,,,,,,ent
Tuomioja,Erkki,sd,Helsingin vaalipiiri,01.07.1946,nyk,,,,,,,nyk
Tuppurainen,Tytti,sd,Oulun vaalipiiri,18.02.1976,nyk,,,,,,,nyk
Turunen,Kaj,ps,Kaakkois-Suomen vaalipiiri,27.12.1960,nyk,,,,,,,nyk
Tuupainen,Kauko,,Keski-Suomen vaalipiiri,08.05.1940,ent,,,,,,,ent
Tynkkynen,Oras,,Pirkanmaan vaalipiiri,25.09.1977,ent,,,,,,,ent
Tölli,Tapani,kesk,Oulun vaalipiiri,13.06.1951,nyk,,,,,,,nyk
Ukkola,Tuulikki,,Oulun vaalipiiri,28.11.1943,ent,,,,,,,ent
Uotila,Kari,vas,Uudenmaan vaalipiiri,04.01.1955,nyk,,,,,,,nyk
Urpalainen,Anu,,Kymen vaalipiiri,27.09.1966,ent,,,,,,,ent
Urpilainen,Jutta,sd,Vaasan vaalipiiri,04.08.1975,nyk,,,,,,,nyk
Uusipaavalniemi,Markku,,Uudenmaan vaalipiiri,23.11.1966,ent,,,,,,,ent
Vahasalo,Raija,,Uudenmaan vaalipiiri,10.03.1961,ent,,,,,,,ent
Wallin,Harry,sd,Vaasan vaalipiiri,23.05.1953,nyk,,,,,,,nyk
Wallin,Stefan,r,Varsinais-Suomen vaalipiiri,01.06.1967,nyk,,,,,,,nyk
Wallinheimo,Sinuhe,kok,Keski-Suomen vaalipiiri,09.03.1972,nyk,,,,,,,nyk
Valpas,Unto,,Oulun vaalipiiri,04.10.1944,ent,,,,,,,ent
Vanhanen,Matti,kesk,Uudenmaan vaalipiiri,04.11.1955,nyk,,,,,,,nyk
Vapaavuori,Jan,,Helsingin vaalipiiri,03.04.1965,ent,,,,,,,ent
Vartia,Antero,vihr,Helsingin vaalipiiri,22.08.1980,nyk,,,,,,,nyk
Vartiainen,Juhana,kok,Helsingin vaalipiiri,28.05.1958,nyk,,,,,,,nyk
Vehkaperä,Mirja,kesk,Oulun vaalipiiri,06.04.1976,nyk,,,,,,,nyk
Vehviläinen,Anu,kesk,Savo-Karjalan vaalipiiri,09.09.1963,nyk,,,,,,,nyk
Wideroos,Ulla-Maj,,Vaasan vaalipiiri,22.10.1951,ent,,,,,,,ent
Viitamies,Pauliina,,Etelä-Savon vaalipiiri,11.03.1969,ent,,,,,,,ent
Viitanen,Pia,sd,Pirkanmaan vaalipiiri,07.04.1967,nyk,,,,,,,nyk
Vikman,Sofia,kok,Pirkanmaan vaalipiiri,12.05.1983,nyk,,,,,,,nyk
Viljanen,Eerikki,kesk,Uudenmaan vaalipiiri,21.04.1975,nyk,,,,,,,nyk
Viljanen,Ilkka,,Hämeen vaalipiiri,12.12.1960,ent,,,,,,,ent
Vilkuna,Pekka,,Oulun vaalipiiri,20.04.1949,ent,,,,,,,ent
Virén,Lasse,,Uudenmaan vaalipiiri,22.07.1949,ent,,,,,,,ent
Virkkunen,Henna,,Keski-Suomen vaalipiiri,04.06.1972,ent,,,,,,,ent
Virolainen,Anne-Mari,kok,Varsinais-Suomen vaalipiiri,05.12.1965,nyk,,,,,,,nyk
Virtanen,Erkki,,Pohjois-Savon vaalipiiri,15.08.1952,ent,,,,,,,ent
Virtanen,Pertti,,Pirkanmaan vaalipiiri,18.05.1951,ent,,,,,,,ent
Vistbacka,Raimo,,Vaasan vaalipiiri,19.10.1945,ent,,,,,,,ent
Vuolanne,Antti,,Satakunnan vaalipiiri,11.04.1967,ent,,,,,,,ent
Vähämäki,Ville,ps,Oulun vaalipiiri,30.03.1979,nyk,,,,,,,nyk
Väyrynen,Paavo,kesk,Lapin vaalipiiri,02.09.1946,kesk,,,,,,,kesk
Väätäinen,Juha,,Helsingin vaalipiiri,12.07.1941,ent,,,,,,,ent
Väätäinen,Tuula,,Pohjois-Savon vaalipiiri,02.10.1955,ent,,,,,,,ent
Yanar,Ozan,vihr,Helsingin vaalipiiri,03.05.1987,nyk,,,,,,,nyk
Yrttiaho,Jyrki,,Varsinais-Suomen vaalipiiri,04.05.1952,ent,,,,,,,ent
Zyskowicz,Ben,kok,Helsingin vaalipiiri,24.05.1954,nyk,,,,,,,nyk
Östman,Peter,kd,Vaasan vaalipiiri,16.12.1961,nyk,,,,,,,nyk
