Sukunimi,Etunimi,Eduskuntaryhmä,Vaalipiiri,Syntymäaika,Edustajatoimen tila,,,,,,,Edustajatoimen tila
Holmlund,Anne,,Satakunnan vaalipiiri,18.04.1964,ent,,,,,,,ent
Hongisto,Reijo,ps,Vaasan vaalipiiri,16.04.1962,nyk,,,,,,,nyk
Honkonen,Petri,kesk,Keski-Suomen vaalipiiri,29.07.1987,nyk,,,,,,,nyk
Hoskonen,Hannu,kesk,Savo-Karjalan vaalipiiri,23.08.1957,nyk,,,,,,,nyk
Huhtasaari,Laura,ps,Satakunnan vaalipiiri,30.03.1979,nyk,,,,,,,nyk
Huovinen,Susanna,sd,Keski-Suomen vaalipiiri,10.06.1972,nyk,,,,,,,nyk
Hurskainen,Sinikka,,Kymen vaalipiiri,22.03.1951,ent,,,,,,,ent
Hyssälä,Liisa,,Varsinais-Suomen vaalipiiri,18.12.1948,ent,,,,,,,ent
Häkkänen,Antti,kok,Kaakkois-Suomen vaalipiiri,16.01.1985,nyk,,,,,,,nyk
Häkämies,Jyri,,Kymen vaalipiiri,30.08.1961,ent,,,,,,,ent
Hänninen,Katja,vas,Oulun vaalipiiri,26.01.1980,nyk,,,,,,,nyk
Hänninen,Tuomo,,Oulun vaalipiiri,09.04.1954,ent,,,,,,,ent
Ihalainen,Lauri,sd,Keski-Suomen vaalipiiri,14.05.1947,nyk,,,,,,,nyk
Immonen,Olli,r,Oulun vaalipiiri,18.02.1986,nyk,,,,,,,nyk
Jaakonsaari,Liisa,,Oulun vaalipiiri,02.09.1945,ent,,,,,,,ent
Jalonen,Ari,ps,Satakunnan vaalipiiri,05.12.1974,nyk,,,,,,,nyk
Jarva,Marisanna,kesk,Oulun vaalipiiri,11.08.1981,nyk,,,,,,,nyk
Jaskari,Harri,kok,Pirkanmaan vaalipiiri,26.03.1964,nyk,,,,,,,nyk
Jokinen,Kalle,kok,Hämeen vaalipiiri,07.08.1961,nyk,,,,,,,nyk
Joutsenlahti,Anssi,,Satakunnan vaalipiiri,17.09.1943,ent,,,,,,,ent
Juhantalo,Kauko,kesk,Satakunnan vaalipiiri,28.04.1942,nyk,,,,,,,nyk
Jungner,Mikael,,Uudenmaan vaalipiiri,20.04.1965,ent,,,,,,,ent
Jurva,Johanna,,Uudenmaan vaalipiiri,16.05.1977,ent,,,,,,,ent
Juurikkala,Timo,,Uudenmaan vaalipiiri,07.05.1958,ent,,,,,,,ent
Juvonen,Arja,ps,Uudenmaan vaalipiiri,08.12.1967,nyk,,,,,,,nyk
Järvinen,Heli,vihr,Kaakkois-Suomen vaalipiiri,31.05.1963,nyk,,,,,,,nyk
Jääskeläinen,Jouko,,Uudenmaan vaalipiiri,18.03.1952,ent,,,,,,,ent
Jääskeläinen,Pietari,,Uudenmaan vaalipiiri,20.06.1947,ent,,,,,,,ent
Kaikkonen,Antti,kesk,Uudenmaan vaalipiiri,14.02.1974,nyk,,,,,,,nyk
Kalli,Timo,kesk,Satakunnan vaalipiiri,22.02.1947,nyk,,,,,,,nyk
Kallio,Reijo,,Satakunnan vaalipiiri,08.02.1951,ent,,,,,,,ent
Kalliomäki,Antti,,Uudenmaan vaalipiiri,08.01.1947,ent,,,,,,,ent
Kalliorinne,Risto,,Oulun vaalipiiri,11.10.1971,ent,,,,,,,ent
Kallis,Bjarne,,Vaasan vaalipiiri,21.03.1945,ent,,,,,,,ent
Kalmari,Anne,kesk,Keski-Suomen vaalipiiri,20.04.1968,nyk,,,,,,,nyk
Kaltiokumpu,Oiva,,Satakunnan vaalipiiri,25.09.1950,ent,,,,,,,ent
Kanerva,Ilkka,kok,Varsinais-Suomen vaalipiiri,28.01.1948,nyk,,,,,,,nyk
Kangas,Matti,,Keski-Suomen vaalipiiri,25.11.1944,ent,,,,,,,ent
Kankaanniemi,Toimi,ps,Keski-Suomen vaalipiiri,26.02.1950,nyk,,,,,,,nyk
Kantola,Ilkka,sd,Varsinais-Suomen vaalipiiri,17.03.1957,nyk,,,,,,,nyk
Karhu,Saara,,Pirkanmaan vaalipiiri,06.11.1957,ent,,,,,,,ent
Karhuvaara,Arja,,Helsingin vaalipiiri,07.08.1954,ent,,,,,,,ent
Kari,Emma,vihr,Helsingin vaalipiiri,15.05.1983,nyk,,,,,,,nyk
Kari,Mika,sd,Hämeen vaalipiiri,19.08.1967,nyk,,,,,,,nyk
Karimäki,Johanna,vihr,Uudenmaan vaalipiiri,20.03.1973,nyk,,,,,,,nyk
Karjula,Kyösti,,Oulun vaalipiiri,08.05.1952,ent,,,,,,,ent
Karpela,Tanja,,Uudenmaan vaalipiiri,22.08.1970,ent,,,,,,,ent
Karvo,Ulla,,Lapin vaalipiiri,14.09.1960,ent,,,,,,,ent
Kasvi,Jyrki,vihr,Uudenmaan vaalipiiri,06.01.1964,nyk,,,,,,,nyk
Katainen,Elsi,kesk,Savo-Karjalan vaalipiiri,17.12.1966,nyk,,,,,,,nyk
Katainen,Jyrki,,Uudenmaan vaalipiiri,14.10.1971,ent,,,,,,,ent
Kataja,Sampsa,,Satakunnan vaalipiiri,03.04.1972,ent,,,,,,,ent
Kauma,Pia,,Uudenmaan vaalipiiri,20.10.1966,ent,,,,,,,ent
Kaunisto,Timo,,Varsinais-Suomen vaalipiiri,27.01.1963,ent,,,,,,,ent
Kauppila,Matti,,Hämeen vaalipiiri,23.08.1945,ent,,,,,,,ent
Kerola,Inkeri,,Oulun vaalipiiri,18.03.1957,ent,,,,,,,ent
Keränen,Niilo,kesk,Oulun vaalipiiri,19.05.1950,nyk,,,,,,,nyk
Kettunen,Pentti,,Oulun vaalipiiri,25.02.1942,ent,,,,,,,ent
Kiljunen,Anneli,sd,Kaakkois-Suomen vaalipiiri,17.09.1957,nyk,,,,,,,nyk
Kiljunen,Kimmo,,Uudenmaan vaalipiiri,13.06.1951,ent,,,,,,,ent
Kiuru,Krista,sd,Satakunnan vaalipiiri,05.08.1974,nyk,,,,,,,nyk
Kiuru,Pauli,kok,Pirkanmaan vaalipiiri,08.12.1962,nyk,,,,,,,nyk
Kivelä,Kimmo,ps,Savo-Karjalan vaalipiiri,05.10.1961,nyk,,,,,,,nyk
Kiviniemi,Mari,,Helsingin vaalipiiri,27.09.1968,ent,,,,,,,ent
Kiviranta,Esko,kesk,Varsinais-Suomen vaalipiiri,02.09.1950,nyk,,,,,,,nyk
Kokko,Osmo,,Pohjois-Karjalan vaalipiiri,17.11.1954,ent,,,,,,,ent
Komi,Katri,,Mikkelin vaalipiiri,11.05.1968,ent,,,,,,,ent
Kontula,Anna,vas,Pirkanmaan vaalipiiri,30.03.1977,nyk,,,,,,,nyk
Kopra,Jukka,kok,Kaakkois-Suomen vaalipiiri,11.02.1967,nyk,,,,,,,nyk
Korhonen,Martti,,Oulun vaalipiiri,27.02.1953,ent,,,,,,,ent
Korhonen,Timo V.,kesk,Oulun vaalipiiri,23.09.1959,nyk,,,,,,,nyk
Korkeaoja,Juha,,Satakunnan vaalipiiri,11.01.1950,ent,,,,,,,ent
Koskela,Laila,,Pirkanmaan vaalipiiri,03.03.1949,ent,,,,,,,ent
Koski,Susanna,kok,Vaasan vaalipiiri,22.03.1985,nyk,,,,,,,nyk
Koski,Valto,,Kymen vaalipiiri,23.01.1939,ent,,,,,,,ent
Koskinen,Jari,,Hämeen vaalipiiri,11.06.1960,ent,,,,,,,ent
Koskinen,Johannes,,Hämeen vaalipiiri,10.12.1954,ent,,,,,,,ent
