sukunimi,etunimi,ryhma,piiri,syntymapaika,status
Virtanen,Erkki,,Pohjois-Savon vaalipiiri,15.08.1952,ent
Virtanen,Pertti,,Pirkanmaan vaalipiiri,18.05.1951,ent
Vistbacka,Raimo,,Vaasan vaalipiiri,19.10.1945,ent
Vuolanne,Antti,,Satakunnan vaalipiiri,11.04.1967,ent
Vähämäki,Ville,ps,Oulun vaalipiiri,30.03.1979,nyk
Väyrynen,Paavo,kesk,Lapin vaalipiiri,02.09.1946,kesk
Väätäinen,Juha,,Helsingin vaalipiiri,12.07.1941,ent
Väätäinen,Tuula,,Pohjois-Savon vaalipiiri,02.10.1955,ent
Yanar,Ozan,vihr,Helsingin vaalipiiri,03.05.1987,nyk
Yrttiaho,Jyrki,,Varsinais-Suomen vaalipiiri,04.05.1952,ent
Zyskowicz,Ben,kok,Helsingin vaalipiiri,24.05.1954,nyk
Östman,Peter,kd,Vaasan vaalipiiri,16.12.1961,nyk
