sukunimi,etunimi,ryhma,piiri,syntymapaika,status
Jaskari,Harri,kok,Pirkanmaan vaalipiiri,26.03.1964,nyk
Jokinen,Kalle,kok,Hämeen vaalipiiri,07.08.1961,nyk
Joutsenlahti,Anssi,,Satakunnan vaalipiiri,17.09.1943,ent
Juhantalo,Kauko,kesk,Satakunnan vaalipiiri,28.04.1942,nyk
Jungner,Mikael,,Uudenmaan vaalipiiri,20.04.1965,ent
Jurva,Johanna,,Uudenmaan vaalipiiri,16.05.1977,ent
Juurikkala,Timo,,Uudenmaan vaalipiiri,07.05.1958,ent
Juvonen,Arja,ps,Uudenmaan vaalipiiri,08.12.1967,nyk
Järvinen,Heli,vihr,Kaakkois-Suomen vaalipiiri,31.05.1963,nyk
Jääskeläinen,Jouko,,Uudenmaan vaalipiiri,18.03.1952,ent
Jääskeläinen,Pietari,,Uudenmaan vaalipiiri,20.06.1947,ent
Kaikkonen,Antti,kesk,Uudenmaan vaalipiiri,14.02.1974,nyk
Kalli,Timo,kesk,Satakunnan vaalipiiri,22.02.1947,nyk
Kallio,Reijo,,Satakunnan vaalipiiri,08.02.1951,ent
Kalliomäki,Antti,,Uudenmaan vaalipiiri,08.01.1947,ent
Kalliorinne,Risto,,Oulun vaalipiiri,11.10.1971,ent
Kallis,Bjarne,,Vaasan vaalipiiri,21.03.1945,ent
Kalmari,Anne,kesk,Keski-Suomen vaalipiiri,20.04.1968,nyk
Kaltiokumpu,Oiva,,Satakunnan vaalipiiri,25.09.1950,ent
Kanerva,Ilkka,kok,Varsinais-Suomen vaalipiiri,28.01.1948,nyk
Kangas,Matti,,Keski-Suomen vaalipiiri,25.11.1944,ent
Kankaanniemi,Toimi,ps,Keski-Suomen vaalipiiri,26.02.1950,nyk
Kantola,Ilkka,sd,Varsinais-Suomen vaalipiiri,17.03.1957,nyk
Karhu,Saara,,Pirkanmaan vaalipiiri,06.11.1957,ent
Karhuvaara,Arja,,Helsingin vaalipiiri,07.08.1954,ent
Kari,Emma,vihr,Helsingin vaalipiiri,15.05.1983,nyk
Kari,Mika,sd,Hämeen vaalipiiri,19.08.1967,nyk
Karimäki,Johanna,vihr,Uudenmaan vaalipiiri,20.03.1973,nyk
Karjula,Kyösti,,Oulun vaalipiiri,08.05.1952,ent
Karpela,Tanja,,Uudenmaan vaalipiiri,22.08.1970,ent
Karvo,Ulla,,Lapin vaalipiiri,14.09.1960,ent
Kasvi,Jyrki,vihr,Uudenmaan vaalipiiri,06.01.1964,nyk
Katainen,Elsi,kesk,Savo-Karjalan vaalipiiri,17.12.1966,nyk
Katainen,Jyrki,,Uudenmaan vaalipiiri,14.10.1971,ent
Kataja,Sampsa,,Satakunnan vaalipiiri,03.04.1972,ent
Kauma,Pia,,Uudenmaan vaalipiiri,20.10.1966,ent
Kaunisto,Timo,,Varsinais-Suomen vaalipiiri,27.01.1963,ent
Kauppila,Matti,,Hämeen vaalipiiri,23.08.1945,ent
Kerola,Inkeri,,Oulun vaalipiiri,18.03.1957,ent
Keränen,Niilo,kesk,Oulun vaalipiiri,19.05.1950,nyk
Kettunen,Pentti,,Oulun vaalipiiri,25.02.1942,ent
Kiljunen,Anneli,sd,Kaakkois-Suomen vaalipiiri,17.09.1957,nyk
Kiljunen,Kimmo,,Uudenmaan vaalipiiri,13.06.1951,ent
Kiuru,Krista,sd,Satakunnan vaalipiiri,05.08.1974,nyk
Kiuru,Pauli,kok,Pirkanmaan vaalipiiri,08.12.1962,nyk
Kivelä,Kimmo,ps,Savo-Karjalan vaalipiiri,05.10.1961,nyk
Kiviniemi,Mari,,Helsingin vaalipiiri,27.09.1968,ent
Kiviranta,Esko,kesk,Varsinais-Suomen vaalipiiri,02.09.1950,nyk
Kokko,Osmo,,Pohjois-Karjalan vaalipiiri,17.11.1954,ent
Komi,Katri,,Mikkelin vaalipiiri,11.05.1968,ent
Kontula,Anna,vas,Pirkanmaan vaalipiiri,30.03.1977,nyk
Kopra,Jukka,kok,Kaakkois-Suomen vaalipiiri,11.02.1967,nyk
Korhonen,Martti,,Oulun vaalipiiri,27.02.1953,ent
Korhonen,Timo V.,kesk,Oulun vaalipiiri,23.09.1959,nyk
Korkeaoja,Juha,,Satakunnan vaalipiiri,11.01.1950,ent
Koskela,Laila,,Pirkanmaan vaalipiiri,03.03.1949,ent
Koski,Susanna,kok,Vaasan vaalipiiri,22.03.1985,nyk
Koski,Valto,,Kymen vaalipiiri,23.01.1939,ent
Koskinen,Jari,,Hämeen vaalipiiri,11.06.1960,ent
Koskinen,Johannes,,Hämeen vaalipiiri,10.12.1954,ent
Koskinen,Marjaana,,Varsinais-Suomen vaalipiiri,26.01.1962,ent
Kosonen,Hanna,kesk,Kaakkois-Suomen vaalipiiri,27.02.1976,nyk
Kuisma,Risto,,Uudenmaan vaalipiiri,01.01.1947,ent
Kulmala,Kari,ps,Savo-Karjalan vaalipiiri,21.04.1965,nyk
Kulmuni,Katri,kesk,Lapin vaalipiiri,04.09.1987,nyk
Kumpula-Natri,Miapetra,,Vaasan vaalipiiri,19.05.1972,ent
Kuoppa,Mikko,,Pirkanmaan vaalipiiri,10.09.1944,ent
Kurvinen,Antti,kesk,Vaasan vaalipiiri,14.07.1986,nyk
Kurvinen,Esko,,Oulun vaalipiiri,06.10.1952,ent
Kuusisto,Merja,,Uudenmaan vaalipiiri,04.12.1954,ent
Kyllönen,Merja,,Oulun vaalipiiri,25.01.1977,ent
Kymäläinen,Suna,sd,Kaakkois-Suomen vaalipiiri,15.09.1976,nyk
Kähkönen,Lauri,,Pohjois-Karjalan vaalipiiri,19.02.1947,ent
Kärkkäinen,Kari,,Kuopion vaalipiiri,29.01.1970,ent
Kärnä,Jukka,,Kymen vaalipiiri,14.11.1955,ent
